"x"
"LOC100840588"
"LOC100836743"
"LOC100834335"
"LOC100843822"
"LOC100840350"
"LOC100832721"
"LOC100823927"
"LOC100823161"
"LOC100839484"
"LOC100835732"
"LOC100837965"
"LOC100821159"
"LOC100831655"
"LOC100823053"
"LOC100838056"
"LOC100843820"
"LOC100825510"
"LOC100834890"
"LOC106865416"
"LOC100826692"
"LOC100833438"
"LOC100838310"
"LOC100839266"
"CBF7"
"LOC100831513"
"LOC100844368"
"LOC100831126"
"LOC100835758"
"LOC100825599"
"LOC100824186"
"LOC100827099"
"LOC100834584"
"LOC100826655"
"LOC100842323"
"LOC100844777"
"LOC100837900"
"LOC100841846"
"LOC100834439"
"LOC100842363"
"LOC100842789"
"LOC100828455"
"LOC100845064"
"LOC100841831"
"LOC100843555"
"rna-XR_002963747.1"
"LOC100832262"
"LOC100827904"
"LOC100834249"
"LOC100846244"
"LOC100831447"
"LOC100825629"
"LOC100825243"
"LOC100841275"
"LOC100843657"
"LOC100831835"
"LOC100845441"
"LOC100838062"
"LOC100845084"
"LOC100840042"
"LOC100845340"
"LOC100830471"
"LOC100837154"
"LOC100832899"
"LOC100834640"
"LOC100842630"
"LOC100836484"
"LOC100841819"
"LOC100833802"
"LOC100832309"
"LOC100826347"
"LOC100842271"
"LOC100828393"
"LOC100845716"
"LOC100828160"
"LOC100843865"
"LOC100821440"
"LOC100837929"
"LOC100827287"
"LOC100837855"
"LOC100833440"
"LOC100836412"
"LOC100828241"
"LOC100831077"
"LOC100821711"
"LOC100826055"
"LOC100833111"
"LOC100828724"
"LOC100820961"
"LOC100831453"
"LOC100827912"
"LOC100827477"
"LOC100841142"
"LOC100836178"
"LOC100841529"
"LOC100834051"
"LOC100827967"
"LOC100838809"
"LOC100846654"
"LOC100826117"
"LOC100822982"
"LOC100836607"
"LOC100836233"
"LOC100846470"
"LOC100830888"
"LOC100845330"
"LOC100844628"
"LOC100842091"
"LOC100845971"
"LOC100838949"
"LOC100830532"
"LOC100835175"
"LOC100840949"
"LOC100828033"
"MPK3"
"LOC100829425"
"LOC100831927"
"rna-XR_732756.3"
"LOC100828690"
"LOC100834901"
"LOC100829154"
"LOC100843576"
"LOC100837492"
"LOC100838789"
"LOC100832762"
"LOC100824165"
"LOC100824899"
"LOC100836462"
"LOC100827598"
"LOC100833074"
"LOC100844578"
"LOC100842274"
"LOC100836608"
"LOC100843613"
"LOC100824259"
"LOC100844215"
"LOC100842856"
"LOC100835463"
"LOC100843320"
"LOC100835222"
"LOC100832635"
"LOC100837103"
"LOC100842155"
"LOC104583860"
"CBF5"
"LOC100844361"
"LOC100827879"
"LOC100846358"
"LOC100830226"
"LOC100836845"
"LOC100841411"
"LOC100835470"
"LOC100837035"
"LOC100828307"
"LOC100842296"
"LOC100826364"
"LOC100845430"
"LOC100843446"
"LOC100829571"
"LOC100838570"
"LOC100831307"
"LOC100838220"
"LOC100838415"
"LOC100838743"
"rna-XR_002962545.1"
